Nitrogen_sp,Season,day_rep,time,blade_rep,uptake_rate,p_uptake,pct_N_final,pct_N_initial
nitrate,summer,2,5,2,0.001082937,0.549336196,3.0438,3.04348411
nitrate,summer,2,5,3,0.004630313,0.989686822,1.2825,1.282024027
nitrate,summer,2,15,1,0.003244174,1.116560054,2.0652,2.063512184
nitrate,summer,2,15,2,0.006025362,1.782929909,1.7755,1.772891932
nitrate,summer,2,15,3,0.003639234,1.20467631,1.9863,1.984481721
nitrate,summer,2,45,1,0.002920991,1.351669996,2.7766,2.770694408
nitrate,summer,2,45,2,0.002379131,0.867388682,2.1876,2.183790493
nitrate,summer,2,45,3,0.003386261,1.280014281,2.2681,2.262503475
nitrate,summer,3,1,1,0.009403513,2.331363606,1.4876,1.487397309
nitrate,summer,3,1,2,0.015895986,2.106332084,0.7951,0.794876005
nitrate,summer,3,1,3,0.010105882,2.720597558,1.6153,1.615073466
nitrate,summer,3,5,1,0.006542303,1.315926754,1.2069,1.20626089
nitrate,summer,3,5,2,0.018509289,2.797372756,0.9068,0.905462532
nitrate,summer,3,5,3,0.010790202,1.548725861,0.8612,0.860462244
nitrate,summer,3,15,1,0.005225402,1.357035773,1.5583,1.556277104
nitrate,summer,3,15,2,0.008319134,1.658010729,1.1959,1.193410977
nitrate,summer,3,15,3,0.017322959,2.571411951,0.8907,0.886861256
nitrate,summer,3,45,1,0.009854998,1.356791264,0.8261,0.820040742
nitrate,summer,3,45,2,0.008337232,1.050654375,0.7562,0.75146488
nitrate,summer,3,45,3,0.003619872,1.283675122,2.1278,2.122171952
nitrate,summer,4,1,1,0.020050921,4.015208008,1.2016,1.201169969
nitrate,summer,4,1,2,0.035304858,7.385239767,1.2552,1.254445763
nitrate,summer,4,1,3,0.00897984,2.473463534,1.6528,1.652521686
nitrate,summer,4,5,1,0.003157241,1.12939418,2.1464,2.14585377
nitrate,summer,4,5,2,0.005138785,1.715220362,2.0028,2.001941194
nitrate,summer,4,5,3,0.004921306,1.62335513,1.9793,1.978484715
nitrate,summer,4,15,1,0.00371015,0.915240675,1.4802,1.478839313
nitrate,summer,4,15,2,0.005019303,1.449230573,1.7325,1.730343943
nitrate,summer,4,15,3,0.005061958,1.649718418,1.9555,1.953108206
nitrate,summer,4,45,1,0.00253432,0.835691608,1.9786,1.974917151
nitrate,summer,4,45,2,0.003490494,1.314224122,2.2592,2.2534295
nitrate,summer,4,45,3,0.006070039,1.909740708,1.8878,1.879372385
nitrate,summer,5,1,1,0.002305144,0.563547657,1.4669,1.46686544
nitrate,summer,5,1,2,0.013352544,5.037732522,2.2638,2.263345056
nitrate,summer,5,1,3,0.006362643,2.215823839,2.0896,2.089424825
nitrate,summer,5,5,1,0.002090415,0.803406177,2.3061,2.305700182
nitrate,summer,5,5,2,0.012566219,3.858855088,1.8426,1.840693102
nitrate,summer,5,5,3,0.003557963,1.314285635,2.2165,2.215830679
nitrate,summer,5,15,1,0.001633987,0.627629553,2.3048,2.30385712
nitrate,summer,5,15,2,0.003362661,0.922960488,1.6469,1.645564652
nitrate,summer,5,15,3,0.002432655,0.739497304,1.8240,1.822933784
nitrate,summer,5,45,1,0.001996422,0.822286392,2.4714,2.467801772
nitrate,summer,5,45,2,0.00314426,0.940970915,1.7957,1.791533505
nitrate,summer,5,45,3,0.001574358,0.589650775,2.2473,2.244729393
urea,spring,1,1,1,0.008901304,1.847319907,1.2453,1.245085023
urea,spring,1,1,2,0.00695722,1.437470723,1.2398,1.239617523
urea,spring,1,1,3,0.002166619,0.680803109,1.8854,1.885375091
urea,spring,1,5,1,0.004833993,1.34775128,1.6729,1.672268032
urea,spring,1,5,2,0.000628295,0.246132185,2.3506,2.350479211
urea,spring,1,5,3,0.007427355,1.456989306,1.1771,1.176333927
urea,spring,1,15,1,0.004900425,0.881324212,1.0791,1.077828007
urea,spring,1,15,2,0.003870747,0.741514794,1.1495,1.148374692
urea,spring,1,45,1,0.005250209,0.875093895,1.0001,0.99622162
urea,spring,1,45,2,0.003621814,0.635403974,1.0527,1.049854599
urea,spring,1,45,3,0.004782308,0.918841163,1.1529,1.148773958
urea,spring,2,1,1,0.002447224,0.666603445,1.6344,1.63437058
urea,spring,2,1,2,0.003732675,0.589028319,0.9469,0.94681109
urea,spring,2,1,3,0.003372533,1.017896215,1.8110,1.810912474
urea,spring,2,5,1,0.003259295,0.473109388,0.8710,0.870753345
urea,spring,2,5,2,0.003223894,0.876615175,1.6316,1.6311265
urea,spring,2,5,3,0.003585646,0.938076519,1.5698,1.569340656
urea,spring,2,15,1,0.00415417,0.676018878,0.9764,0.97544304
urea,spring,2,15,2,0.00238717,0.428880347,1.0780,1.077383911
urea,spring,2,15,3,0.00398261,0.698196975,1.0519,1.050887581
urea,spring,2,45,1,0.00512315,0.864495702,1.0125,1.008660356
urea,spring,2,45,2,0.004351033,0.726596076,1.0020,0.998779483
urea,spring,2,45,3,0.004032568,0.58580528,0.8717,0.869043991
urea,spring,3,1,1,0.003801861,0.932808776,1.4722,1.472120595
urea,spring,3,1,2,0.001287485,0.432799877,2.0171,2.017018358
urea,spring,3,1,3,0.002754662,0.887905225,1.9341,1.933984406
urea,spring,3,5,1,0.002449414,0.744888869,1.8248,1.824384446
urea,spring,3,5,2,0.001099157,0.358061169,1.9547,1.954486709
urea,spring,3,5,3,0.002538806,0.814822871,1.9258,1.925385637
urea,spring,3,15,1,0.000440769,0.163470091,2.2254,2.225126824
urea,spring,3,15,2,0.001255572,0.465830981,2.2262,2.225500548
urea,spring,3,15,3,0.001453006,0.442370689,1.8268,1.826157827
urea,spring,3,45,1,0.003358879,0.650376713,1.1618,1.1589431
urea,spring,3,45,2,0.000997609,0.233936841,1.4071,1.406021425
urea,spring,3,45,3,0.003248225,0.737699431,1.3627,1.359448185
urea,spring,4,1,1,0.001129387,0.412137555,2.1896,2.189603633
urea,spring,4,1,2,0.0006702,0.292169982,2.6158,2.615774832
urea,spring,4,1,3,0.00120698,0.410489188,2.0407,2.040644267
urea,spring,4,5,1,0.000357471,0.157506871,2.6438,2.6437461
urea,spring,4,5,2,0.001998618,0.587372093,1.7634,1.76313968
urea,spring,4,5,3,0.001479284,0.525745271,2.1325,2.132287121
urea,spring,4,15,1,0.001212963,0.432861249,2.1413,2.140653834
urea,spring,4,15,2,0.002105625,0.693434297,1.9761,1.975032341
urea,spring,4,15,3,0.001269078,0.449850638,2.1269,2.126274476
urea,spring,4,45,1,0.001835461,0.624628523,2.0420,2.039223283
urea,spring,4,45,2,0.002050803,0.731342393,2.1398,2.136568653
urea,spring,4,45,3,0.001359252,0.496908097,2.1936,2.191376744
urea,spring,5,1,1,0.001425329,0.250512371,1.0546,1.054576122
urea,spring,5,1,2,0.002814211,0.667080325,1.4223,1.422248622
urea,spring,5,1,3,0.00623759,1.43343506,1.3789,1.378766883
urea,spring,5,5,1,0.008018534,1.616508894,1.2096,1.208844732
urea,spring,5,5,2,0.003773518,0.969945013,1.5423,1.541843739
urea,spring,5,5,3,0.008024423,1.211783125,0.9061,0.905518579
urea,spring,5,15,1,0.003836036,0.877711179,1.3729,1.371614714
urea,spring,5,15,2,0.006649146,1.106721893,0.9987,0.997083537
urea,spring,5,15,3,0.006038187,1.238389836,1.2306,1.228788149
urea,spring,5,45,1,0.002470128,0.61046283,1.4829,1.480200869
urea,spring,5,45,2,0.002335725,0.747322849,1.9198,1.916522733
urea,spring,5,45,3,0.002221059,0.627917928,1.6964,1.69357824
urea,summer,1,1,1,0.001644174,0.506218288,1.8474,1.847364061
urea,summer,1,1,2,0.006892321,1.812820735,1.5782,1.578026864
urea,summer,1,1,3,0.000630795,0.254777465,2.4235,2.423497791
urea,summer,1,5,1,0.005006302,1.081800148,1.2966,1.296060493
urea,summer,1,5,2,0.006035385,1.051636749,1.0455,1.045005898
urea,summer,1,5,3,0.004796402,1.542468086,1.9296,1.928876711
urea,summer,1,15,1,0.008933382,1.921551561,1.2907,1.287810155
urea,summer,1,15,2,0.003105173,1.053554967,2.0358,2.03430055
urea,summer,1,15,3,0.010002356,1.941224335,1.1645,1.161643637
urea,summer,1,45,1,0.003139194,0.957602567,1.8304,1.826149926
urea,summer,1,45,2,0.002831971,0.913393322,1.9353,1.931246204
urea,summer,1,45,3,0.003386531,0.661607914,1.1722,1.169306204
urea,summer,2,1,1,0,0,2.5877,2.587678431
urea,summer,2,1,2,0,0,2.1929,2.192870581
urea,summer,2,1,3,0,0,1.7064,1.706396951
urea,summer,2,5,1,0.001070883,0.423910399,2.3752,2.375027051
urea,summer,2,5,2,0.0012709,0.41836326,1.9752,1.975018294
urea,summer,2,5,3,0.00346953,0.766768596,1.3261,1.32569596
urea,summer,2,15,1,0.005860824,1.762223679,1.8042,1.801570422
urea,summer,2,15,2,0.001766183,0.649919151,2.2080,2.207040232
urea,summer,2,15,3,0.0017127,0.785481506,2.7519,2.750730416
urea,summer,2,45,1,0.001713288,0.625320215,2.1900,2.187257891
urea,summer,2,45,2,0.00203478,0.590007785,1.7399,1.737251499
urea,summer,2,45,3,0.002945493,0.923072538,1.8804,1.876331684
urea,summer,3,1,1,0.006555328,1.648544216,1.5090,1.508806666
urea,summer,3,1,2,0.002630703,0.639659734,1.4590,1.458923885
urea,summer,3,1,3,0.008123887,1.000518631,0.7390,0.738885427
urea,summer,3,5,1,0.011128755,1.407112941,0.7587,0.757978121
urea,summer,3,5,2,0.000921918,0.344201995,2.2402,2.240076423
urea,summer,3,5,3,0.003796825,0.539134609,0.8520,0.851754676
urea,summer,3,15,1,0.001906306,0.608896673,1.9166,1.91567655
urea,summer,3,15,2,0.002397582,0.671568952,1.6807,1.679714023
urea,summer,3,15,3,0.004205326,1.018041026,1.4526,1.451074106
urea,summer,3,45,1,0.002178242,0.531567964,1.4643,1.46193187
urea,summer,3,45,2,0.008290125,1.264616216,0.9153,0.909678583
urea,summer,3,45,3,0.007247615,0.959495069,0.7944,0.790084435
urea,summer,4,1,1,0.00509451,0.897576742,1.0572,1.057077629
urea,summer,4,1,2,0,0,1.2994,1.299433863
urea,summer,4,1,3,0,0,1.8151,1.815087924
urea,summer,4,5,1,1.62E-05,0.006110528,2.2611,2.26108769
urea,summer,4,5,2,0.001381633,0.430389346,1.8691,1.868934198
urea,summer,4,5,3,0.001047881,0.324457553,1.8579,1.857731463
urea,summer,4,15,1,0.000891931,0.299363537,2.0139,2.013478985
urea,summer,4,15,2,0.000326857,0.106683024,1.9584,1.958288784
urea,summer,4,15,3,0.000221516,0.075047775,2.0329,2.032750944
urea,summer,4,45,1,0.007711058,1.327930293,1.0333,1.027407231
urea,summer,4,45,2,0.005038438,0.673297477,0.8018,0.798829698
urea,summer,4,45,3,0.002249015,0.703235913,1.8762,1.873110919
urea,summer,5,1,1,0.000875033,0.29553377,2.0265,2.026519629
urea,summer,5,1,2,0.003989087,1.315900161,1.9794,1.979225538
urea,summer,5,1,3,0.002531065,0.772654117,1.8317,1.831630955
urea,summer,5,5,1,0.002836085,0.966285191,2.0444,2.043900418
urea,summer,5,5,2,0.001014168,0.34773806,2.0574,2.057219492
urea,summer,5,5,3,0.002162816,0.626544585,1.7382,1.737919577
urea,summer,5,15,1,0.004256491,1.193999499,1.6832,1.68140351
urea,summer,5,15,2,0.001599099,0.583301113,2.1887,2.187870942
urea,summer,5,15,3,0.003304231,1.203568465,2.1856,2.183853667
urea,summer,5,45,1,0.00244888,0.749221341,1.8358,1.832453965
urea,summer,5,45,2,0.005809988,1.225057898,1.2652,1.259746162
urea,summer,5,45,3,0.00189378,0.682373536,2.1621,2.15905112
